comparison_type	target_gene	condition	comparison_id_a	comparison_id_b	leading_edge_jaccard	leading_edge_size_a	leading_edge_size_b	status
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082703	non-DM_3|2026082705	0.7413793103448276	91	111	PASS
within_target_donor_seed	EFNB2	organic_ED_nonDM	non-DM_3|2026082704	non-DM_3|2026082705	0.7661290322580645	108	111	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082701	non-DM_1|2026082702	0.8	113	112	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082701	non-DM_1|2026082703	0.7844827586206896	113	94	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082701	non-DM_1|2026082704	0.8372093023255814	113	124	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082701	non-DM_1|2026082705	0.8050847457627118	113	100	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082702	non-DM_1|2026082703	0.7310924369747899	112	94	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082702	non-DM_1|2026082704	0.8294573643410853	112	124	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082702	non-DM_1|2026082705	0.7666666666666667	112	100	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082703	non-DM_1|2026082704	0.7580645161290323	94	124	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082703	non-DM_1|2026082705	0.7962962962962963	94	100	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_1|2026082704	non-DM_1|2026082705	0.792	124	100	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082701	non-DM_2|2026082702	0.8461538461538461	95	97	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082701	non-DM_2|2026082703	0.8108108108108109	95	106	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082701	non-DM_2|2026082704	0.7758620689655172	95	111	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082701	non-DM_2|2026082705	0.8490566037735849	95	101	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082702	non-DM_2|2026082703	0.8796296296296297	97	106	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082702	non-DM_2|2026082704	0.8245614035087719	97	111	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082702	non-DM_2|2026082705	0.8857142857142857	97	101	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082703	non-DM_2|2026082704	0.8547008547008547	106	111	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082703	non-DM_2|2026082705	0.8648648648648649	106	101	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_2|2026082704	non-DM_2|2026082705	0.8275862068965517	111	101	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082701	non-DM_3|2026082702	0.75	97	120	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082701	non-DM_3|2026082703	0.7714285714285715	97	89	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082701	non-DM_3|2026082704	0.7627118644067796	97	111	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082701	non-DM_3|2026082705	0.7603305785123967	97	116	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082702	non-DM_3|2026082703	0.7131147540983607	120	89	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082702	non-DM_3|2026082704	0.8046875	120	111	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082702	non-DM_3|2026082705	0.8153846153846154	120	116	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082703	non-DM_3|2026082704	0.7391304347826086	89	111	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082703	non-DM_3|2026082705	0.7226890756302521	89	116	PASS
within_target_donor_seed	LRRC17	organic_ED_nonDM	non-DM_3|2026082704	non-DM_3|2026082705	0.816	111	116	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082701	Normal_1|2026082702	0.6853146853146853	138	103	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082701	Normal_1|2026082703	0.5319148936170213	138	78	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082701	Normal_1|2026082704	0.6618705035971223	138	93	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082701	Normal_1|2026082705	0.7202797202797203	138	108	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082702	Normal_1|2026082703	0.6454545454545455	103	78	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082702	Normal_1|2026082704	0.75	103	93	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082702	Normal_1|2026082705	0.7583333333333333	103	108	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082703	Normal_1|2026082704	0.7448979591836735	78	93	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082703	Normal_1|2026082705	0.5897435897435898	78	108	PASS
within_target_donor_seed	TYMS	normal	Normal_1|2026082704	Normal_1|2026082705	0.6890756302521008	93	108	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082701	Normal_2|2026082702	0.7132352941176471	130	103	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082701	Normal_2|2026082703	0.823943661971831	130	129	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082701	Normal_2|2026082704	0.6690140845070423	130	107	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082701	Normal_2|2026082705	0.6466165413533834	130	89	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082702	Normal_2|2026082703	0.7313432835820896	103	129	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082702	Normal_2|2026082704	0.627906976744186	103	107	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082702	Normal_2|2026082705	0.6410256410256411	103	89	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082703	Normal_2|2026082704	0.7101449275362319	129	107	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082703	Normal_2|2026082705	0.6148148148148148	129	89	PASS
within_target_donor_seed	TYMS	normal	Normal_2|2026082704	Normal_2|2026082705	0.5076923076923077	107	89	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082701	Normal_3|2026082702	0.7019230769230769	99	78	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082701	Normal_3|2026082703	0.7142857142857143	99	93	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082701	Normal_3|2026082704	0.6448598130841121	99	77	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082701	Normal_3|2026082705	0.6610169491525424	99	97	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082702	Normal_3|2026082703	0.7448979591836735	78	93	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082702	Normal_3|2026082704	0.6666666666666666	78	77	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082702	Normal_3|2026082705	0.6666666666666666	78	97	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082703	Normal_3|2026082704	0.6346153846153846	93	77	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082703	Normal_3|2026082705	0.6666666666666666	93	97	PASS
within_target_donor_seed	TYMS	normal	Normal_3|2026082704	Normal_3|2026082705	0.5818181818181818	77	97	PASS
between_donor_five_seed_consensus	EFNB2	organic_ED_nonDM	non-DM_1	non-DM_2	0.6416666666666667	92	105	PASS
between_donor_five_seed_consensus	EFNB2	organic_ED_nonDM	non-DM_1	non-DM_3	0.6097560975609756	92	106	PASS
between_donor_five_seed_consensus	EFNB2	organic_ED_nonDM	non-DM_2	non-DM_3	0.6746031746031746	105	106	PASS
between_donor_five_seed_consensus	LRRC17	organic_ED_nonDM	non-DM_1	non-DM_2	0.6612903225806451	104	102	PASS
between_donor_five_seed_consensus	LRRC17	organic_ED_nonDM	non-DM_1	non-DM_3	0.6417910447761194	104	116	PASS
between_donor_five_seed_consensus	LRRC17	organic_ED_nonDM	non-DM_2	non-DM_3	0.7165354330708661	102	116	PASS
between_donor_five_seed_consensus	TYMS	normal	Normal_1	Normal_2	0.582089552238806	91	121	PASS
between_donor_five_seed_consensus	TYMS	normal	Normal_1	Normal_3	0.6776859504132231	91	112	PASS
between_donor_five_seed_consensus	TYMS	normal	Normal_2	Normal_3	0.725925925925926	121	112	PASS
between_target_formal_consensus	EFNB2|LRRC17	NOT_APPLICABLE	EFNB2	LRRC17	0.8942307692307693	95	102	PASS
between_target_formal_consensus	EFNB2|TYMS	NOT_APPLICABLE	EFNB2	TYMS	0.6754385964912281	95	96	PASS
between_target_formal_consensus	LRRC17|TYMS	NOT_APPLICABLE	LRRC17	TYMS	0.6638655462184874	102	96	PASS
between_specification_rank_level	EFNB2		S0	S1	0.8482142857142857	95	112	DISPLAY_DERIVED_FROM_FROZEN_S071
between_specification_rank_level	EFNB2		S0	S2	0.9595959595959596	95	99	DISPLAY_DERIVED_FROM_FROZEN_S071
between_specification_rank_level	EFNB2		S1	S2	0.8839285714285714	112	99	DISPLAY_DERIVED_FROM_FROZEN_S071
between_specification_rank_level	LRRC17		S0	S1	0.8918918918918919	102	108	DISPLAY_DERIVED_FROM_FROZEN_S071
between_specification_rank_level	LRRC17		S0	S2	1.0	102	102	DISPLAY_DERIVED_FROM_FROZEN_S071
between_specification_rank_level	LRRC17		S1	S2	0.8918918918918919	108	102	DISPLAY_DERIVED_FROM_FROZEN_S071
between_specification_rank_level	TYMS		S0	S1	0.8645833333333334	96	83	DISPLAY_DERIVED_FROM_FROZEN_S071
between_specification_rank_level	TYMS		S0	S2	0.96875	96	93	DISPLAY_DERIVED_FROM_FROZEN_S071
between_specification_rank_level	TYMS		S1	S2	0.8924731182795699	83	93	DISPLAY_DERIVED_FROM_FROZEN_S071
