source_id	figures	role	relative_path	classification	note	exists	size_bytes	sha256
S035	3,4	pseudobulk_counts	analysis/results/GSE206528/pseudobulk_counts.csv	DESCRIPTIVE_DERIVATION_INPUT	May support donor dots only under a frozen normalization/display rule; no new test.	TRUE	8222716	c0dca2b999e87625b3c149771b7319ca52cbfd3e3c6f99f04b4bf7069e2d62b6
S036	3,4	pseudobulk_samples	analysis/results/GSE206528/pseudobulk_samples.csv	DESCRIPTIVE_DERIVATION_INPUT	Maps pseudobulk columns to donors and groups.	TRUE	7611	156d4aa2088f9bd0418655e1970fe2aac2c207699f5138d34585d24232334905
S040	4	candidate_classification_summary	revision_v2/02_results/IH_ED_candidate_classification_summary_v2.tsv	SEALED_RESULT	Three FDR-supported and 563 nominal-P exploratory genes.	TRUE	88	23d16157a1504f6a6e8f4402e14cb95f05d234113f62674c3415d26809bf87f0
S041	4	candidate_classification_full	revision_v2/02_results/IH_ED_candidate_classification_v2.tsv	SEALED_RESULT	Candidate evidence classes; historical score columns are not plotted.	TRUE	107737	a43aea8f977bd2cd084793b628d2ed5a9c3d2ff329a8c442c7140865ba0648fe
S042	4	doublet_gene_sensitivity	revision_v2/01_work/GSE206528_doublet_sensitivity/attempt_02/edgeR_Hallmark/TYMS_EFNB2_LRRC17_sensitivity.tsv	SEALED_RESULT	Before/after doublet exclusion gene effects.	TRUE	5030	34b149ae5343412e88bb9e6f4c383f11f610450821c8aa423a183be9e291d976
S043	4	doublet_hallmark_sensitivity	revision_v2/01_work/GSE206528_doublet_sensitivity/attempt_02/edgeR_Hallmark/Hallmark_sensitivity_comparison.tsv	SEALED_RESULT	Before/after doublet exclusion pathway effects.	TRUE	102031	1e36b4d254c0bc0b707234f4dc4da01f8b2ebcd7bec36aae76368c83e129e4ed
S044	4	doublet_candidate_class	revision_v2/02_results/figure_source_data/Figure3_candidate_sensitivity_class_source_data_v2.tsv	SEALED_FIGURE_SOURCE	Candidate-class preservation after sensitivity analysis.	TRUE	389	1f9661579414bed5994a25138cec579d7a9da3c710ee4ac7388fa360f34dc494
S050	5	ml_predictions	analysis/results/phase2/machine_learning/nested_LODO_predictions.tsv	SEALED_RESULT	Twenty held-out sample predictions.	TRUE	7636	a32e2b933ac8a5017f01f58fe42085a511a42f6b3fd00a3d2e067f6cac1790a3
S051	5	ml_pooled_metrics	analysis/results/phase2/machine_learning/nested_LODO_pooled_metrics.tsv	SEALED_RESULT	Pooled AUC, interval, and exact permutation result.	TRUE	361	adc3bc41b412e3c7722ad84e2cbbb92bf1f46ddef5023bfc88924a667015fc99
S052	5	ml_dataset_metrics	analysis/results/phase2/machine_learning/nested_LODO_per_dataset_metrics.tsv	SEALED_RESULT	Dataset-specific heterogeneity.	TRUE	599	4308cb7def5bdeb2e25f52dbdf126a2e840ef5696669a2e01aa0a2d0a873a7ca
S053	5	ml_feature_stability	analysis/results/phase2/machine_learning/feature_stability.tsv	SEALED_RESULT	Outer-fold feature stability.	TRUE	271059	c55edf4ad4da63fbc18c2ed98ab176e06f8723816e743faac0fdec1631ecfa5b
S054	5	ml_selected_features	analysis/results/phase2/machine_learning/selected_features_by_outer_fold.tsv	SEALED_RESULT	Per-fold selected features.	TRUE	624013	7855cdfe1084b7cbef1b60ddd1921161b5c78a1f2bee0947103252fcfa02e302
S060	6	vp_donor_stability	revision_v2/07_virtual_perturbation/06_consensus/donor_stability.tsv	SEALED_RESULT	Seed Spearman and Top-200 Jaccard summaries.	TRUE	802	54b8077e9094216cf3038d1b9c4571298bfd6282a24ed1c70257689dff58e967
S061	6	vp_seed_spearman	revision_v2/07_virtual_perturbation/06_consensus/seed_pairwise_spearman.tsv	SEALED_RESULT	Pairwise seed stability.	TRUE	6780	582564c1435b7fab4077a6ff142449f5302d710db820e356889fa7aca7933c8d
S062	6	vp_seed_jaccard	revision_v2/07_virtual_perturbation/06_consensus/seed_pairwise_top200_jaccard.tsv	SEALED_RESULT	Pairwise Top-200 stability.	TRUE	6688	122711efab61727cfd3d93b271103e4d5ca4af5662294a7fad1de805317f2414
S063	6	vp_ed_gsea	revision_v2/07_virtual_perturbation/07_enrichment/v1/ed_signature_gsea.tsv	SEALED_RESULT	ED_UP_FDR ranked enrichment; ED_DOWN_FDR is not tested by size rule.	TRUE	823	dcf575c471362b18a2bbd3e262c9578368598cbe5d024a2dfaccbcef6cc6b81d
S064	6	vp_top5_overlap	revision_v2/07_virtual_perturbation/07_enrichment/v1/ed_top5_overlap.tsv	SEALED_RESULT	Top-5-percent overlap tests and within-target FDR.	TRUE	675	fada2262b7c4dc0cce90349dc79580cc2a652fa7ecc6490739f61f60e53c53f1
S065	6	vp_gene_set_eligibility	revision_v2/07_virtual_perturbation/07_enrichment/v1/gene_set_eligibility.tsv	SEALED_RESULT	Source for NOT_TESTED_SIZE_3 boundary.	TRUE	664595	b7a0803e4cb8503d5c78d5505b1e5079df9d51cfc0d332361046f51106a0273b
S066	6	vp_matched_calibration	revision_v2/07_virtual_perturbation/06_consensus/negative_control_calibration_v2/negative_control_calibration.tsv	SEALED_RESULT	Matched-control empirical calibration.	TRUE	3325	6dbf1b3a1faf49e40590bc95b010d0c0e458a91f588015e40cab471fd5f65724
S070	7	vp_hypoxia_formal	revision_v2/07_virtual_perturbation/07_enrichment/v1/hypoxia_primary_summary.tsv	SEALED_RESULT	Formal VP-G06 Hypoxia result.	TRUE	2006	db1ed522dbee534da17ef337fb889538b7ba69fb2f6735f72acf954c7aad0eed
S071	7	vp_es01_multiverse	revision_v2/07_virtual_perturbation/10_exploratory_hypoxia_sensitivity/attempt_20260910_03/06_analysis_multiverse.tsv	SEALED_EXPLORATORY_RESULT	S0-S3 target-level specification results.	TRUE	14037	cf9e7434d89cf0bdd19226ae0053eff77f9d0f27a984118191e7c78a172c5a08
S072	7	vp_es01_seed_results	revision_v2/07_virtual_perturbation/10_exploratory_hypoxia_sensitivity/attempt_20260910_02/03_target_donor_seed_hypoxia.tsv	SEALED_EXPLORATORY_RESULT	Forty-five seed-level Hypoxia results.	TRUE	34891	3e976956fc69e15243e41ab794b9dd9b86b9d9e985ef0122f54a946c7616a00d
S073	7	vp_es01_leave_seed	revision_v2/07_virtual_perturbation/10_exploratory_hypoxia_sensitivity/attempt_20260910_02/04_leave_one_seed_out.tsv	SEALED_EXPLORATORY_RESULT	Forty-five leave-one-seed-out results.	TRUE	36861	540614c6c50d11e84337825f3deb8871a865b1a453df829ff1c8422a84c52838
S074	7	vp_es01_leave_donor	revision_v2/07_virtual_perturbation/10_exploratory_hypoxia_sensitivity/attempt_20260910_02/04_leave_one_donor_out.tsv	SEALED_EXPLORATORY_RESULT	Nine leave-one-donor-out results.	TRUE	6840	1b587f064a8f941dda08beb374f959e7a52c50fb202d475f88720db840c44098
S075	7	vp_es01_matched_controls	revision_v2/07_virtual_perturbation/10_exploratory_hypoxia_sensitivity/attempt_20260910_02/05_target_vs_matched_controls.tsv	SEALED_EXPLORATORY_RESULT	Signed and conservative absolute empirical calibration.	TRUE	1286	4997368cdf9a0eb9147e988027a563c0880a2ef15e66133cc65a463599daff73
S076	7	vp_es01_leading_edge	revision_v2/07_virtual_perturbation/10_exploratory_hypoxia_sensitivity/attempt_20260910_02/05_leading_edge_stability.tsv	SEALED_EXPLORATORY_RESULT	Leading-edge Jaccard comparisons.	TRUE	11663	0675fbc5c9afab5ef8cf74cdf425aa3b61825d375307e65aa639f76558322765
S077	7	vp_es01_mapping_qc	revision_v2/07_virtual_perturbation/10_exploratory_hypoxia_sensitivity/attempt_20260910_03/06_hypoxia_mapping_qc.tsv	SEALED_EXPLORATORY_RESULT	191 of 200 exact-symbol mapping result and missing members.	TRUE	4921	f3d6dbbc2cd3116dd0b06ed2af370ecf7f2a2165789c0dfb530b0592916b9bc7
S080	8	cell_communication_edges	analysis/results/phase3/cell_communication/all_tested_ligand_receptor_edges.tsv	SEALED_RESULT	All 60,299 tested edges and exact label-permutation P values.	TRUE	34503588	aa1e882e11b64ed6a495ca9cbba39b67ef9d2b4d68c549835cb4cc82e4ebede2
S081	8	cell_communication_summary	analysis/results/phase3/cell_communication/analysis_summary.json	SEALED_RESULT	Donor unit and global communication summary.	TRUE	688	3754fe56eb2421ea84786a953e681d2dc2e5969e46292950b836165aa5b0ab0c
S082	8	power_mde	analysis/results/phase3/power_sensitivity/minimum_detectable_effects.tsv	SEALED_RESULT	Minimum detectable effect by donor design.	TRUE	1010	eb5962c0bb461cb4894ee23ca7022571c3a9e22526fa273281425d9e77fd71be
S083	8	power_sample_size	analysis/results/phase3/power_sensitivity/sample_size_for_standardized_effects.tsv	SEALED_RESULT	Idealized equal-group sample-size curve.	TRUE	221	cb4479548a8c445ba4a14d73eba93e0a0c42f7ac71ac2a5308b06cbc911eb74f
S084	8	g07_coverage	revision_v2/07_virtual_perturbation/08_external_reference/public_perturbation_target_coverage.tsv	SEALED_EXTERNAL_COVERAGE	T1-T5 coverage matrix; coverage is not validation.	TRUE	6348	10338eb1739d2ccbe5a633d5a7bb1e8876d3deb0f42cb62ee1f7f2fbb4ff7554
S085	8	g07_report	revision_v2/07_virtual_perturbation/08_external_reference/VP_G07_external_scope_report.md	SEALED_EXTERNAL_COVERAGE	Bounded audit interpretation.	TRUE	1803	816043d9a5f75235b7e8f8837e1d8b835da093a37b8a8a6706bdfb0a4bee8a8d
